SampleID	SS_error	RA	Level	Time	Site
431	0.124938737	-1.32482193	L1	Day0	HL
432	0.096910013	-1.32482193	L1	Day0	HL
433	0.079181246	-1.32482193	L1	Day0	HL
434	0.324511092	-1.32482193	L1	Day0	HL
435	0.026328939	-1.32482193	L1	Day0	HL
436	0.146128036	-1.328938496	L1	Day0	HL
437	0.138302698	-1.328938496	L1	Day0	HL
438	0.433655561	-1.328938496	L1	Day0	HL
439	0.22184875	-1.328938496	L1	Day0	HL
440	0.087150176	-1.328938496	L1	Day0	HL
441	0.051152522	-1.328938496	L1	Day0	HL
442	0.176091259	-1.333094456	L1	Day0	HL
443	0	-1.333094456	L1	Day0	HL
444	0.062147907	-1.333094456	L1	Day0	HL
445	0.087150176	-1.333094456	L1	Day0	HL
446	0.072550667	-1.333094456	L1	Day0	HL
447	0.204119983	-1.33729057	L1	Day0	HL
448	0.380211242	-1.33729057	L1	Day0	HL
449	0.057991947	-1.33729057	L1	Day0	HL
450	0.151267675	-1.33729057	L1	Day0	HL
451	0.051152522	-1.341527623	L1	Day0	HL
452	0.263241435	-1.341527623	L1	Day0	HL
453	0.072550667	-1.341527623	L1	Day0	HL
454	0.079181246	-1.341527623	L1	Day0	HL
455	0.210853365	-1.341527623	L1	Day0	HL
456	0.045757491	-1.345806421	L1	Day0	HL
457	0.028028724	-1.345806421	L1	Day0	HL
458	0.084320886	-1.345806421	L1	Day0	HL
459	0.096910013	-1.345806421	L1	Day0	HL
460	0.045757491	-1.345806421	L1	Day0	HL
461	0.028028724	-1.350127795	L1	Day0	HL
462	0	-1.350127795	L1	Day0	HL
463	0.15490196	-1.350127795	L1	Day0	HL
464	0.041392685	-1.350127795	L1	Day0	HL
465	0.22184875	-1.350127795	L1	Day0	HL
466	0.057991947	-1.350127795	L1	Day0	HL
467	0.189056236	-1.354492601	L1	Day0	HL
468	0.032184683	-1.354492601	L1	Day0	HL
469	0.109144469	-1.354492601	L1	Day0	HL
470	0.210853365	-1.354492601	L1	Day0	HL
471	0.653212514	-1.354492601	L1	Day0	HL
472	0.113943352	-1.354492601	L1	Day0	HL
473	0.196294645	-1.354492601	L1	Day0	HL
474	0.06694679	-1.358901719	L1	Day0	HL
475	0.234083206	-1.358901719	L1	Day0	HL
476	0.041392685	-1.358901719	L1	Day0	HL
477	0.134698574	-1.358901719	L1	Day0	HL
478	0.234083206	-1.358901719	L1	Day0	HL
479	0.124938737	-1.363356061	L1	Day0	HL
480	0.263241435	-1.363356061	L1	Day0	HL
481	0.176091259	-1.363356061	L1	Day0	HL
482	0.176091259	-1.363356061	L1	Day0	HL
483	0.029963223	-1.363356061	L1	Day0	HL
484	0	-1.363356061	L1	Day0	HL
485	0.22184875	-1.363356061	L1	Day0	HL
486	0.087150176	-1.367856562	L1	Day0	HL
487	0.113943352	-1.367856562	L1	Day0	HL
488	0	-1.367856562	L1	Day0	HL
489	0.041392685	-1.367856562	L1	Day0	HL
490	0.602059991	-1.367856562	L1	Day0	HL
491	0.079181246	-1.37240419	L1	Day0	HL
492	0.146128036	-1.37240419	L1	Day0	HL
493	0	-1.37240419	L1	Day0	HL
494	0.176091259	-1.37240419	L1	Day0	HL
495	0.079181246	-1.376999942	L1	Day0	HL
496	0	-1.376999942	L1	Day0	HL
497	0.045757491	-1.376999942	L1	Day0	HL
498	0.335792102	-1.376999942	L1	Day0	HL
499	0.22184875	-1.376999942	L1	Day0	HL
500	0.057991947	-1.381644847	L1	Day0	HL
501	0.072550667	-1.381644847	L1	Day0	HL
502	0.032184683	-1.381644847	L1	Day0	HL
503	0.051152522	-1.381644847	L1	Day0	HL
504	0	-1.381644847	L1	Day0	HL
505	0.124938737	-1.381644847	L1	Day0	HL
506	0.079181246	-1.381644847	L1	Day0	HL
507	0.138302698	-1.381644847	L1	Day0	HL
508	0.176091259	-1.381644847	L1	Day0	HL
509	0.041392685	-1.381644847	L1	Day0	HL
510	0.079181246	-1.381644847	L1	Day0	HL
511	0.196294645	-1.381644847	L1	Day0	HL
512	0	-1.381644847	L1	Day0	HL
513	0.301029996	-1.381644847	L1	Day0	HL
514	0.087150176	-1.381644847	L1	Day0	HL
515	0	-1.381644847	L1	Day0	HL
516	0	-1.386339968	L1	Day0	HL
517	0.234083206	-1.386339968	L1	Day0	HL
518	0.109144469	-1.386339968	L1	Day0	HL
519	0.051152522	-1.386339968	L1	Day0	HL
520	0.268845312	-1.386339968	L1	Day0	HL
521	0.06694679	-1.386339968	L1	Day0	HL
522	0.574031268	-1.391086403	L1	Day0	HL
523	0.113943352	-1.391086403	L1	Day0	HL
524	0.032184683	-1.391086403	L1	Day0	HL
525	0.057991947	-1.391086403	L1	Day0	HL
526	0.079181246	-1.391086403	L1	Day0	HL
527	0.041392685	-1.391086403	L1	Day0	HL
528	0.21387982	-1.395885286	L1	Day0	HL
529	0.124938737	-1.395885286	L1	Day0	HL
530	0.556302501	-1.395885286	L1	Day0	HL
531	0.22184875	-1.395885286	L1	Day0	HL
532	0.268845312	-1.400737789	L1	Day0	HL
533	0.037788561	-1.400737789	L1	Day0	HL
534	0.051152522	-1.400737789	L1	Day0	HL
535	0.15490196	-1.400737789	L1	Day0	HL
536	0.191885526	-1.400737789	L1	Day0	HL
537	0.301029996	-1.400737789	L1	Day0	HL
538	0.06694679	-1.400737789	L1	Day0	HL
539	0.051152522	-1.400737789	L1	Day0	HL
540	0.138302698	-1.400737789	L1	Day0	HL
541	0.204119983	-1.400737789	L1	Day0	HL
542	0.113943352	-1.405645123	L1	Day0	HL
543	0.159700843	-1.405645123	L1	Day0	HL
544	0.22184875	-1.405645123	L1	Day0	HL
545	0.210853365	-1.405645123	L1	Day0	HL
546	0.051152522	-1.405645123	L1	Day0	HL
547	0.124938737	-1.405645123	L1	Day0	HL
548	0	-1.405645123	L1	Day0	HL
549	0.268845312	-1.410608543	L1	Day0	HL
550	0.087150176	-1.410608543	L1	Day0	HL
551	0.176091259	-1.410608543	L1	Day0	HL
552	0.263241435	-1.410608543	L1	Day0	HL
553	0.079181246	-1.410608543	L1	Day0	HL
554	0.367976785	-1.410608543	L1	Day0	HL
555	0.243038049	-1.410608543	L1	Day0	HL
556	0.124938737	-1.410608543	L1	Day0	HL
557	0.146128036	-1.410608543	L1	Day0	HL
558	0.124938737	-1.410608543	L1	Day0	HL
559	0.138302698	-1.415629344	L1	Day0	HL
560	0.124938737	-1.415629344	L1	Day0	HL
561	0.096910013	-1.415629344	L1	Day0	HL
562	0.301029996	-1.415629344	L1	Day0	HL
563	0.062147907	-1.415629344	L1	Day0	HL
564	0.087150176	-1.415629344	L1	Day0	HL
565	0.096910013	-1.415629344	L1	Day0	HL
