# Constructed from biom file																																				
#OTU ID	HL1HFP1	HL1HFP2	HL1HFP3	HL1HFU1	HL1HFU2	HL1HFU3	HL2HFP1	HL2HFP2	HL2HFP3	HL2HFU1	HL2HFU2	HL2HFU3	HL3HFP1	HL3HFP2	HL3HFP3	HL3HFU1	HL3HFU2	HL3HFU3	SY1HFP1	SY1HFP2	SY1HFP3	SY1HFU1	SY1HFU2	SY1HFU3	SY2HFP1	SY2HFP2	SY2HFP3	SY2HFU1	SY2HFU2	SY2HFU3	SY3HFP1	SY3HFP2	SY3HFP3	SY3HFU1	SY3HFU2	SY3HFU3
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Corynesporascaceae;g__Corynespora	1.01E-05	5.07E-05	0.000344323	4.42E-05	0	0	8.04E-05	0	0	6.18E-06	2.21E-05	3.95E-05	0	0	0	0	0	0	0.000598135	0.000201285	0	0	8.04E-06	0	7.05E-05	0.000880718	0	0	1.09E-05	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;f__Leptosphaeriaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria	0.001027221	0.000444765	0.000739146	0.001043645	0.000272822	0.000676127	0.001526945	0.000893219	0.00108645	0.000395775	0.000618183	0.000328765	0.00073124	0.000410341	0	0.0008382	0.000435711	0.000572164	0.000867882	0.000823437	6.52E-05	0.000647093	0.000618936	0.000114267	0.000123365	0.000668402	7.10E-05	0.000175197	0.000424342	9.99E-05	0.000196525	0.000121914	0.000265781	0	0.000369319	0.000125739
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__unclassified_Leptosphaeriaceae	0	0	0	0	0	0	0	0	0	0	4.42E-05	1.05E-05	0	0	0	0.000108155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma	0	0	4.59E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__unclassified_Lophiostomataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52E-05	0	0	0.000155302	0	0	4.70E-05	0	6.46E-06	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Saccharicola	0	0	4.59E-05	0	0	0	0	0	0	0	2.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000304785	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;f__Montagnulaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86E-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Deniquelata	0	0	6.43E-05	0	0	0	0	0	0	1.24E-05	0	0	0	0	0	0	0	0	5.86E-06	0	0	0.000168244	6.43E-05	0	0	0	0	0.000372293	0	6.99E-05	0	0	0	0	0	4.00E-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraconiothyrium	0	7.88E-05	4.13E-05	0	0	4.23E-05	0	0	0	0	0	0	1.46E-05	0	0	0	0	0	0	0	0	0	0.001896999	0	0	0.000117953	6.46E-06	0	0.000174089	0	0	0	0.000398671	0	0.000622011	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraphaeosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015186	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__unclassified_Montagnulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77E-05	3.52E-05	0	0.000325794	0	0	0	0	0	0	0	4.90E-05	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;f__Phaeosphaeriaceae_unclassified	0	0	9.18E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36E-05	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella	0	1.69E-05	4.59E-06	5.52E-06	0	1.69E-05	0	2.38E-05	0	0	0	0	0	0	0	5.41E-05	0	0	0	0	0	0	8.04E-05	0	0	0	0	0	0	3.33E-06	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Stagonospora	0	0	1.38E-05	0	0	0	0	0	0	0	0	7.89E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93E-05	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;f__Pleosporaceae_unclassified	3.02E-05	5.07E-05	0.000280049	3.31E-05	0	2.54E-05	5.74E-05	5.95E-05	0.000155207	3.09E-05	4.42E-05	1.05E-05	0.000131623	0	0	2.70E-05	4.36E-05	4.77E-05	0.000140738	3.66E-05	3.26E-05	0.00197579	0.001382559	0.00217547	1.17E-05	0.000117953	3.23E-05	0.004423713	0.002616776	0.000935787	8.93E-06	0.003840293	0	0.001718213	0.000699763	0.00186323
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.002578124	0.001142876	0.067193404	0.00097186	0.00114585	0.001200125	0.004133085	0.001667342	0.034455999	0.001051278	0.002207798	0.000631228	0.003129707	0.002051703	0.005611529	0.00127082	0.001786415	0.000524484	0.002263531	0.002763088	0.000803626	0.002868778	0.004011028	0.01056092	0.001756478	0.001525529	0.001969279	0.000437991	0.000761639	0.001501922	0.001304212	0.004632734	0.00358804	0.002290951	0.008319403	0.000857314
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris	0	0	0	0	0	0	0	0	0	0	0	2.63E-06	0	0	0	0	0	0	2.93E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
