Otu	HL1CKP1	HL1CKP2	HL1CKP3	HL1CKU1	HL1CKU2	HL1CKU3	HL1SP1	HL1SP2	HL1SP3	HL1SU1	HL1SU2	HL1SU3	HL2CKP1	HL2CKP2	HL2CKP3	HL2CKU1	HL2CKU2	HL2CKU3	HL2SP1	HL2SP2	HL2SP3	HL2SU1	HL2SU2	HL2SU3	HL3CKP1	HL3CKP2	HL3CKP3	HL3CKU1	HL3CKU2	HL3CKU3	HL3SP1	HL3SP2	HL3SP3	HL3SU1	HL3SU2	HL3SU3	SY1CKP1	SY1CKP2	SY1CKP3	SY1CKU1	SY1CKU2	SY1CKU3	SY1SP1	SY1SP2	SY1SP3	SY1SU1	SY1SU2	SY1SU3	SY2CKP1	SY2CKP2	SY2CKP3	SY2CKU1	SY2CKU2	SY2CKU3	SY2SP1	SY2SP2	SY2SP3	SY2SU1	SY2SU2	SY2SU3	SY3CKP1	SY3CKP2	SY3CKP3	SY3CKU1	SY3CKU2	SY3CKU3	SY3SP1	SY3SP2	SY3SP3	SY3SU1	SY3SU2	SY3SU3
Otu6465	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu6466	 0	 0	15	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu6467	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6468	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu6469	 0	 1	14	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 8	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu647	  4	  1	  1	  0	  0	  0	  0	  0	  0	  1	  0	  0	  4	 18	  0	  0	  0	  1	  2	  0	  0	  0	  0	  0	 12	  2	  1	  0	  3	  0	  0	  0	  1	  0	  0	  0	  7	 23	  0	  1	  2	  0	  0	  0	  0	  0	  0	  0	 11	 26	 30	  0	  0	  2	184	  3	  0	  0	  0	  0	 99	 69	825	  1	  0	  0	  4	  4	  0	  0	  0	  3
Otu6470	2	1	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6471	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6472	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6473	 0	 0	18	 0	 0	 0	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
