,qPCR,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9
Otu1147,3.909873323,1.506706758,3.438120585,3.136001276,3.657162917,4.048174148,4.150922983,3.938155551,0,0
Otu11477,4.152644488,2.075974465,3.668560735,3.887728174,4.169306719,3.543635209,4.158763846,4.242379043,4.936492966,0
Otu1148,4.210760708,1.870939467,2.549165074,3.800590303,3.211031744,4.048906454,3.524021159,0,4.680960224,4.969816412
Otu1149,3.617919549,1.774944105,2.549165074,0,3.533517818,0,0,3.948983627,0,0
Otu11493,4.629729767,2.855151609,3.855635702,4.587877205,4.530412485,4.152854269,4.619662205,4.42564403,4.963711664,4.967699198
Otu115,5.822285696,4.149795885,5.201920998,5.757257268,5.695668768,5.645781234,5.726853474,6.083340918,6.366023725,6.407873865
Otu1150,3.791782868,2.075974465,3.084045935,3.0632147,3.852405031,3.709198124,3.524021159,3.9656225,4.641175881,0
Otu11506,3.32902773,1.625072128,2.631645359,0,0,0,0,0,4.382322691,0
Otu1151,3.786281673,0,0,3.616176463,3.800958355,3.548864335,0,3.948983627,0,0
Otu1152,0,1.885218079,3.366601335,0,0,0,0,4.249964777,0,0
Otu11524,3.327233311,1.774944105,0,0,0,3.233391832,0,3.963000483,0,0
Otu1153,0,1.807736686,0,3.215363894,0,3.262051956,0,0,0,0
Otu11530,3.619039267,0,0,3.617679703,3.163510785,0,4.170588904,3.9513206,0,4.967699198
Otu1154,3.909646361,2.126621998,0,3.453820007,3.901832644,3.841836962,4.234965692,0,0,4.96173768
Otu1155,3.32832683,1.885218079,3.083436042,3.215363894,3.714528361,3.273055324,0,4.548324943,0,0
Otu1156,4.085359033,2.048190061,2.959887403,4.105616842,4.054275114,3.251867998,3.558502609,3.931143154,0,0
Otu1157,3.329768231,0,0,0,0,3.741809552,0,0,0,0
Otu1161,4.152122499,2.291648825,3.408435217,4.120306996,3.827703145,3.563079576,4.061948768,4.426698049,4.856234813,0
Otu1162,4.261551539,0,3.065354006,0,3.249192769,3.26979646,3.88831103,0,0,0
Otu1163,0,1.506706758,0,4.045877708,0,3.251867998,0,0,4.836279608,0
Otu11649,0,0,0,0,3.824410018,3.251867998,0,0,0,0
Otu11657,0,0,0,3.215363894,0,3.26979646,0,0,0,0
Otu11661,3.79201409,1.926102175,2.517483727,3.0632147,0,0,4.067858651,3.931143154,0,0
Otu1167,3.329231888,1.926102175,2.542180187,3.936070044,3.676270627,3.570825289,0,0,0,0
Otu11672,4.210522577,2.126621998,3.466785575,3.888482703,4.154180293,3.569788377,3.540258269,4.252350839,0,0
Otu11678,3.329768231,0,2.719426777,0,0,0,0,3.963000483,0,0
Otu1168,4.209985022,2.629563625,3.723198219,4.225290742,4.048179683,3.96293688,3.853259604,3.963000483,4.662681668,4.967699198
Otu1169,3.329768231,1.885218079,3.074317127,3.624397134,3.512061739,3.749092231,3.833238504,4.253136128,4.807235189,4.96173768
Otu117,5.540844244,3.61465973,4.73729485,5.334742377,5.21989189,5.259970952,5.21680352,5.682324871,5.898312368,6.191292956
Otu1172,3.618839207,0,0,0,3.532963788,0,0,0,0,0
Otu1173,3.327233311,2.075974465,3.325858718,3.424040439,0,3.750177427,3.524021159,0,4.952882241,0
Otu1174,0,0,3.23370535,0,3.233757319,0,0,0,4.826862131,0
Otu11760,4.799003972,2.894798445,4.068605013,4.654303067,4.657846653,4.687385601,4.595780695,4.913417268,5.140922389,5.26447004
Otu11762,4.261961193,0,3.476382304,4.061193004,4.052596088,3.22735585,4.32807727,4.249964777,4.821892751,0
Otu1178,3.32832683,0,2.931118711,3.109619011,3.694985367,3.551836406,0,0,4.382322691,0
Otu1179,3.32902773,2.186248075,0,3.453820007,0,0,0,0,4.382322691,0
Otu118,5.693370951,3.954016242,5.055807191,5.749206819,5.637642258,5.632146637,5.627286145,5.98528528,6.254376244,6.475844184
Otu1183,5.441263699,3.633345114,4.649937309,5.326164539,5.364252957,5.236830012,5.34173667,5.733448965,5.807492293,6.135328325
Otu1184,4.349402399,0,3.46498657,3.93284649,3.696475752,3.871854118,4.055943615,4.234710275,4.332713765,0
Otu1185,0,1.962243586,2.843208936,3.494728459,3.514330729,3.26979646,4.072795711,3.9656225,4.368317423,0
